product_name,image_filename,category,visible_size,identification_notes,draft_price,draft_stock
Smithfield Anytime Favorites Pork Chops,smithfield_anytime_favorites_pork_chops.jpg,Meat & Deli,17.6 oz (1.1 lb),Top-left package; exact flavor text is partly obscured.,,
IGA Sliced Pepperoni,iga_sliced_pepperoni_8oz.jpg,Meat & Deli,8 oz,Use one of the repeated identical packs.,,
Carisa Chicken Franks,carisa_chicken_franks.jpg,Hot Dogs & Sausages,,Two similar packs are visible.,,
Confidence Smoked Sausage,confidence_smoked_sausage.jpg,Hot Dogs & Sausages,340 g,Blue/yellow package; exact variety is partly obscured.,,
Bar-S Hot Dogs,bar_s_hot_dogs_white_pack.jpg,Hot Dogs & Sausages,,White package on right side; exact variety partly obscured.,,
Frangosul Sausage,frangosul_sausage.jpg,Hot Dogs & Sausages,,Red-and-white package; product wording is not fully readable.,,
Gwaltney Great Dogs Original,gwaltney_great_dogs_original_12oz.jpg,Hot Dogs & Sausages,12 oz,"Red package, original variety.",,
Gwaltney Great Dogs Franks,gwaltney_great_dogs_franks_blue.jpg,Hot Dogs & Sausages,12 oz,Blue-label variety; exact meat type is hard to read.,,
Chicken Franks,chicken_franks_yellow_red_pack.jpg,Hot Dogs & Sausages,340 g,Yellow/red package; brand is not fully legible.,,
Bar-S Bun Length Beef Franks,bar_s_bun_length_beef_franks.jpg,Hot Dogs & Sausages,,Red package in middle.,,
Nathan's Angus Beef Franks,nathans_angus_beef_franks.jpg,Hot Dogs & Sausages,,Yellow/green package on right.,,
Bar-S Naturally Hardwood Smoked Bacon,bar_s_hardwood_smoked_bacon_12oz.jpg,Bacon,12 oz,Large red box.,,
Sugardale Bacon,sugardale_bacon.jpg,Bacon,,Clear plastic bacon package.,,
Bar-S Chicken Jumbo Franks,bar_s_chicken_jumbo_franks.jpg,Hot Dogs & Sausages,,Red package on lower-right shelf.,,
Sliced Bologna / Luncheon Meat,sliced_bologna_assorted.jpg,Deli Meat,,Several brands and varieties are present; labels are too obscured for reliable exact identification.,,
Bar-S Bun Length Chicken Franks,bar_s_bun_length_chicken_franks.jpg,Hot Dogs & Sausages,,Lower-right package.,,
