requested_name,brand,category,preferred_size,matched_name,matched_brand,matched_size,barcode,image_filename,image_url,match_score,confidence,approved
Coca-Cola Original Taste,Coca-Cola,Soft Drinks,,Coca-Cola Original Taste,"Coca Cola Life, Coca-Cola",1 L,5449000054227,coca_cola_original_taste.jpg,https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.543.400.jpg,92.0,HIGH,
Pepsi Cola,Pepsi,Soft Drinks,,,,,,,,,FAILED,
Sprite Lemon-Lime Soda,Sprite,Soft Drinks,,Sprite Lemon-Lime Soda,Sprite,2 L,0049000050158,sprite_lemon_lime_soda.jpg,https://images.openfoodfacts.org/images/products/004/900/005/0158/front_en.41.400.jpg,92.0,HIGH,
7UP Lemon-Lime Soda,7UP,Soft Drinks,,7up lemon-lime,7up,,4060800163646,7up_lemon_lime_soda.jpg,https://images.openfoodfacts.org/images/products/406/080/016/3646/front_fr.8.400.jpg,79.4,REVIEW,
Dr Pepper Soda,Dr Pepper,Soft Drinks,,Dr Pepper & Cream Soda,Dr Pepper,1,0078000033489,dr_pepper_soda.jpg,https://images.openfoodfacts.org/images/products/007/800/003/3489/front_en.27.400.jpg,79.6,REVIEW,
Fanta Orange Soda,Fanta,Soft Drinks,,,,,,,,,FAILED,
Canada Dry Ginger Ale,Canada Dry,Soft Drinks,,Ginger Ale,Canada Dry,355,07811403,canada_dry_ginger_ale.jpg,https://images.openfoodfacts.org/images/products/000/000/781/1403/front_en.77.400.jpg,67.2,LOW,
A&W Root Beer,A&W,Soft Drinks,,A&W Root Beer,A&W,12 x 355 Cans,0059531002205,a_w_root_beer.jpg,https://images.openfoodfacts.org/images/products/005/953/100/2205/front_fr.3.400.jpg,90.0,HIGH,
Perrier Sparkling Natural Mineral Water,Perrier,Water,,Perrier Sparkling Natural Mineral Water,"Nestlé, Perrier",,07923494,perrier_sparkling_natural_mineral_water.jpg,https://images.openfoodfacts.org/images/products/000/000/792/3494/front_fr.4.400.jpg,90.0,HIGH,
Evian Natural Spring Water,Evian,Water,,,,,,,,,FAILED,
Dasani Purified Water,Dasani,Water,,,,,,,,,FAILED,
