requested_name,brand,category,preferred_size
Coca-Cola Original Taste,Coca-Cola,Soft Drinks,
Pepsi Cola,Pepsi,Soft Drinks,
Sprite Lemon-Lime Soda,Sprite,Soft Drinks,
7UP Lemon-Lime Soda,7UP,Soft Drinks,
Dr Pepper Soda,Dr Pepper,Soft Drinks,
Fanta Orange Soda,Fanta,Soft Drinks,
Canada Dry Ginger Ale,Canada Dry,Soft Drinks,
A&W Root Beer,A&W,Soft Drinks,
Perrier Sparkling Natural Mineral Water,Perrier,Water,
Evian Natural Spring Water,Evian,Water,
Dasani Purified Water,Dasani,Water,
Ocean Spray Cranberry Juice Cocktail,Ocean Spray,Juice,64 fl oz
SunnyD Tangy Original,SunnyD,Juice Drinks,
V8 Splash Tropical Blend,V8,Juice Drinks,
Welch's Grape Juice,Welch's,Juice,
Capri Sun Fruit Punch,Capri Sun,Juice Drinks,
Gatorade Fruit Punch,Gatorade,Sports Drinks,
Barilla Spaghetti,Barilla,Pasta,16 oz
Ronzoni Spaghetti,Ronzoni,Pasta,16 oz
De Cecco Spaghetti No. 12,De Cecco,Pasta,16 oz
Mueller's Elbow Macaroni,Mueller's,Pasta,16 oz
Goya Black Beans,Goya,Canned Goods,15.5 oz
Goya Red Kidney Beans,Goya,Canned Goods,15.5 oz
Del Monte Whole Kernel Corn,Del Monte,Canned Vegetables,
Green Giant Sweet Peas,Green Giant,Canned Vegetables,
Libby's Whole Kernel Sweet Corn,Libby's,Canned Vegetables,
Campbell's Chicken Noodle Soup,Campbell's,Soup,
Campbell's Tomato Soup,Campbell's,Soup,
SPAM Classic,SPAM,Canned Meat,12 oz
StarKist Chunk Light Tuna in Water,StarKist,Canned Seafood,
Bumble Bee Chunk Light Tuna in Water,Bumble Bee,Canned Seafood,
Chicken of the Sea Chunk Light Tuna in Water,Chicken of the Sea,Canned Seafood,
Heinz Tomato Ketchup,Heinz,Condiments,
French's Classic Yellow Mustard,French's,Condiments,14 oz
Hellmann's Real Mayonnaise,Hellmann's,Condiments,
A.1. Original Steak Sauce,A.1.,Condiments,
Kikkoman Soy Sauce,Kikkoman,Asian Sauces,
Bragg Organic Apple Cider Vinegar,Bragg,Vinegar,
Mazola Corn Oil,Mazola,Cooking Oil,
Wesson Vegetable Oil,Wesson,Cooking Oil,
Crisco Pure Vegetable Oil,Crisco,Cooking Oil,
Kellogg's Froot Loops,Kellogg's,Cereal,
Kellogg's Frosted Flakes,Kellogg's,Cereal,
Kellogg's Rice Krispies,Kellogg's,Cereal,
Cheerios Original,General Mills,Cereal,
Lucky Charms,General Mills,Cereal,
Post Honey Bunches of Oats Honey Roasted,Post,Cereal,
Nature Valley Crunchy Oats 'n Honey Granola Bars,Nature Valley,Snack Bars,
KIND Dark Chocolate Nuts & Sea Salt,KIND,Snack Bars,
Nutri-Grain Strawberry Breakfast Bars,Kellogg's,Snack Bars,
